Time,Rla,Rlo,RCPI,DistanceDelta(m),TimeDelta(s),Speed(km/h)
11:32:55,37.4040041,127.1046397,100,0.0,1.0,0.0
11:32:56,37.4040041,127.1046397,98,0.0,1.0,0.0
11:32:57,37.4040041,127.1046397,100,0.0,1.0,0.0
11:32:58,37.4040041,127.1046397,100,0.0,1.0,0.0
11:32:59,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:00,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:01,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:02,37.4040041,127.1046397,144,0.0,1.0,0.0
11:33:03,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:04,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:05,37.4040041,127.1046397,114,0.0,1.0,0.0
11:33:06,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:07,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:08,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:09,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:10,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:11,37.4040041,127.1046397,96,0.0,1.0,0.0
11:33:12,37.4040041,127.1046397,116,0.0,1.0,0.0
11:33:13,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:14,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:15,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:16,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:17,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:18,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:19,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:20,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:21,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:22,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:23,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:24,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:25,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:26,37.4040041,127.1046397,108,0.0,1.0,0.0
11:33:27,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:28,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:29,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:30,37.4040041,127.1046397,142,0.0,1.0,0.0
11:33:31,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:32,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:33,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:34,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:35,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:36,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:37,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:38,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:39,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:40,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:41,37.4040041,127.1046397,110,0.0,1.0,0.0
11:33:42,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:43,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:44,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:45,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:46,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:47,37.4040041,127.1046397,100,0.0,1.0,0.0
